M3U Channel,assigned tvg-id
SEA Games CH01,internal_4a3ce44f
SEA Games CH02,internal_6d2f4b53
SEA Games CH03,internal_58af8d83
SEA Games CH04,internal_f032d3e2
SEA Games CH05,internal_2cde2ecf
TIMNAS DAY 2,internal_afcec1b5
TIMNAS DAY 3,internal_9c897adf
TIMNAS DAY 4,internal_6144ceb3
SEA GAMES 1,internal_f7e775de
SEA GAMES 2,internal_a4cc974e
SEA GAMES 3,internal_2645eacc
SEA GAMES 4,internal_1dec68c6
SEA GAMES 5,internal_64fb56c8
SEA GAMES 6,internal_f3373cb2
SEA GAMES 7,internal_a10a9f9f
SEA GAMES 8,internal_14a02e71
SEA GAMES 9,internal_555f93e0
SEA GAMES 10,internal_d47ec8b8
SEA GAMES 11,internal_9d9bbe48
SEA GAMES 12,internal_ed8c280d
SEA GAMES 13,internal_ad42bb24
SEA GAMES 14,internal_5de8ea76
SPOTV V+,internal_0c131bf2
SPOTV 2 V+,internal_81a6c986
SPOTV PH,internal_4b53b8c7
SPOTV 2 PH,internal_4f05a1cc
SPOTV HD FM,internal_5ef7b841
SPOTV2 HD FM,internal_1e753d8d
INDOSIAR FHD,internal_f181fc46
INDOSIAR SPORTS 1,internal_71e38ea2
INDOSIAR SPORTS 2,internal_49e2d81b
VOLI SPORT,internal_36a2c539
VOLI TV,internal_bf4590f6
LIGA BRI UP,internal_f9c950ff
SPORT.TV 1,internal_57b7ab18
SPORT.TV 2,internal_ed8db3f5
DAIHATSU JAPAN B,internal_fe8c4a88
RCTI SPORTS,internal_de688b2f
RCTI SPORTS,internal_de688b2f
FIFA+ AU,internal_dc358302
BEIN SPORT 1 HD,internal_55de1f6c
BEIN SPORT 2 HD,internal_e2d5eedb
BEIN SPORT 3 HD,internal_cc89c3a5
BEIN SPORT XTRA,internal_d04a3a5a
SKY SPORTS LIVE 5 HD,internal_7c775c89
SKY SPORTS LIVE 6 HD,internal_f75045d8
SEA V LEAGUE ONE SPORT,internal_4b0e8e6e
SEA V LEAGUE ONE SPORT+,internal_b4d5c868
SEA V LEAGUE GMM,internal_261b8654
SEA V LEAGUE ONE,internal_55a73333
SEA V LEAGUE A,internal_e45f6dba
AFF U23 M LIVE 5,internal_570fa0cd
AFF U23 M LIVE 5,internal_570fa0cd
AFF U23 M LIVE 6,internal_9f8bd100
AFF U23 ASTRO ARENA 2,internal_15f6a77e
FIFA CLUB,internal_fee49060
FIFA CLUB 1,internal_8ade6b86
AVC CUP 1,internal_c1abd1e8
AVC CUP 2,internal_78a5bf91
AVC CUP 3,internal_e003014e
VNL SERVER A,internal_74295dc7
VNL ARENA 1,internal_d41018e9
VNL SERVER 1,internal_06476086
VNL SERVER 2,internal_8250f44a
VNL SERVER 3,internal_97592f87
VNL SERVER 4,internal_fa99de76
VNL TRTSPOR IP,internal_43795e8a
TRT SPOR VNL,internal_eb1047b1
SPORTV 2 VNL,internal_a267c5fd
TIMNAS DAY,internal_d2fa624c
TIMNAS DAY BC 1,internal_b11c6eab
TIMNAS DAY BC 2,internal_cac2dcc1
TIMNAS DAY BC 3,internal_5fd0f494
LIGA BRI EVENT 2,internal_65ce071e
LIGA BRI EVENT 3,internal_544b5de2
LIGA BRI EVENT 1,internal_e1d15568
LIGA BRI EVENT 2,internal_65ce071e
LIGA BRI EVENT 4,internal_9c971064
LIGA BRI EVENT 5,internal_1f33764d
19:40 ECZACIBASI W VS GALATASARAY W,internal_31bbbf10
LIGA 1 BRI-15:30 PERSITA VS AREMA FC,internal_4a895071
LIGA 1 BRI-19:00 PERSEBAYA VS MADURA UNITED,internal_8fadf421
PRO LIGA-16:00 JAKARTA POPSIVO POLWAN VS JAKARTA ELECTRIC PLN,internal_45fa780d
PRO LIGA-19:00 JAKARTA LAVANI LIVIN TRANSMEDIA VS SURABAYA SAMATOR,internal_9361098b
SPORTSTARS 2 HD,internal_9aaa92f9
MOJI IP,internal_b8a801c9
MOJI WI,internal_94c5d679
MOJI IP 2,internal_a874fd8e
INDOSIAR WI,internal_e3e8a0c2
INDOSIAR DIGITAL,internal_5471d582
RCTI DIGITAL,internal_3cd4c625
DAZN HD,internal_0cb5105d
DAZN 1 EVENT,internal_99d26349
DAZN F1 HD,internal_ba2a6938
ABU DHABI SPORT 1 TV,internal_26b43c78
BEIN SPORTS 5 HD,internal_30851d39
PRO LIGA  1,internal_46db14ec
LIGA EVENT,internal_9d57c3db
AFC EVENT,internal_8c96fb32
INDONESIA VS KORUT SD,internal_3d740f95
TRT SPOR,internal_222212a4
TRT SPOR BC,internal_2efb67a8
DAZN 1 JP,internal_454bd517
BWF COURT 1,internal_c335fd7a
BWF COURT 2,internal_a4f49e9f
BWF COURT 3,internal_3d5addac
BWF COURT 4,internal_d43ef8ee
THAPCAM TV 01,internal_906a569d
THAPCAM TV 02,internal_33934922
THAPCAM TV 03,internal_62b77c56
THAPCAM TV 04,internal_43e03729
THAPCAM TV 05,internal_888ed835
THAPCAM TV 06,internal_234d2b72
THAPCAM TV 07,internal_d3e15dcf
THAPCAM TV 08,internal_5a33abc7
THAPCAM TV 09,internal_c6b73a21
THAPCAM TV 10,internal_175ca0de
THAPCAM TV 11,internal_b949bd1e
THAPCAM TV 12,internal_ac8af619
THAPCAM TV 13,internal_a8dce254
THAPCAM TV 14,internal_dabd66a5
THAPCAM TV 15,internal_2c8ec989
THAPCAM TV 16,internal_6ba37e19
THAPCAM TV 17,internal_a17b49b5
THAPCAM TV 18,internal_b0075bd3
THAPCAM TV 19,internal_bab4d5d1
THAPCAM TV 20,internal_94af043a
THAPCAM TV 21,internal_6dd8c5b8
THAPCAM TV 22,internal_010b52ac
THAPCAM TV 23,internal_f48a93ff
THAPCAM TV 24,internal_186d0b14
THAPCAM TV 25,internal_71c55279
THAPCAM TV 26,internal_2188b4da
THAPCAM TV 27,internal_d5199251
THAPCAM TV 28,internal_2efd30bc
SPORTV AO VIVO,internal_ba55ee22
MBC MASR 2 GETHER,internal_b8aa69b2
VIX TUDN,internal_73ddb2e3
TABII SPOR,internal_64f05cc7
TABII SPOR 1,internal_06d63da7
TABII SPOR 2,internal_1b305259
TABII SPOR 3,internal_7b943b47
DAZN 1,internal_cf9f9b2d
DAZN 1 IP,internal_f38a6b49
DAZN 5 IP,internal_5790c498
AZAM SPORTS 2,internal_308f7798
DAZN EVENT 1,internal_84403dd2
DAZN EVENT 2,internal_add9fe0a
UZIVO TV,internal_a8af4480
SHARJAH SPORT,internal_ea13c7f4
DUBAI SPORT 2,internal_0d4ffe8c
DUBAI SPORT 3,internal_939d2697
OMAN SPORT,internal_45336889
BAHRAIN SPORT 1,internal_96ece8a5
BAHRAIN SPORT 2,internal_06f53350
TVRI SPORT,internal_8603b68c
ABU DHABI SPORTS 1,internal_953f352f
ABU DHABI SPORTS 2,internal_8a8bfc75
FIFA+ AU,internal_dc358302
ONE SPORTS,internal_c0be3e53
ONE SPORTS+,internal_1d323264
